date,spy_equity_$,spy_drawdown_%,strategy_equity_$,strategy_drawdown_%
2023-08-15,11203.429698763184,-3.2522278525249027,12789.0,0.0
2023-08-16,11120.090042238917,-3.971911584833132,12789.0,0.0
2023-08-17,11034.726964615424,-4.709068670277827,12474.0,-2.463054187192115
2023-08-18,11049.649695222197,-4.580202690896384,12474.0,-2.463054187192115
2023-08-21,11104.02913726383,-4.110606325353827,12294.0,-3.870513722730473
2023-08-22,11080.759794622758,-4.311549886423216,12420.0,-2.885292047853627
2023-08-23,11200.141639476946,-3.280622051371662,12420.0,-2.885292047853627
2023-08-24,11046.61456357336,-4.606412720601094,12420.0,-2.885292047853627
2023-08-25,11131.092394465944,-3.8769002271536017,12420.0,-2.885292047853627
2023-08-28,11195.588942003693,-3.3199370959287045,12553.0,-1.8453358354836191
2023-08-29,11359.7389786782,-1.9024113227328332,12553.0,-1.8453358354836191
2023-08-30,11406.024736322935,-1.502708369736161,12686.0,-0.8053796231136112
2023-08-31,11397.67812428864,-1.5747859514240847,12542.0,-1.9313472515442909
2023-09-01,11409.059867971771,-1.4764983400314513,12542.0,-1.9313472515442909
2023-09-05,11367.073880162883,-1.8390704176131425,12545.0,-1.9078895926186612
2023-09-06,11283.354832182513,-2.562030403634452,12545.0,-1.9078895926186612
2023-09-07,11246.93325239649,-2.876550760090857,12545.0,-1.9078895926186612
2023-09-08,11267.167463388723,-2.701817228726189,12545.0,-1.9078895926186612
2023-09-11,11343.804537521815,-2.040013978682509,12545.0,-1.9078895926186612
2023-09-12,11283.354832182513,-2.562030403634452,12545.0,-1.9078895926186612
2023-09-13,11299.289273338898,-2.4244277476847764,12545.0,-1.9078895926186612
2023-09-14,11391.860788628372,-1.6250218416914208,12545.0,-1.9078895926186612
2023-09-15,11220.628778106584,-3.103704350864933,12584.0,-1.6029400265853422
2023-09-18,11221.893416293598,-3.0927835051546393,12563.0,-1.7671436390648165
2023-09-19,11202.923843488375,-3.2565961908090246,12563.0,-1.7671436390648165
2023-09-20,11090.876900118876,-4.224183120740877,12563.0,-1.7671436390648165
2023-09-21,10909.021928826163,-5.794600733880828,12563.0,-1.7671436390648165
2023-09-22,10894.09919821939,-5.923466713262271,12563.0,-1.7671436390648165
2023-09-25,10934.56762020386,-5.573999650532945,12563.0,-1.7671436390648165
2023-09-26,10772.94685990338,-6.969683732308241,12563.0,-1.7671436390648165
2023-09-27,10777.12016592053,-6.933644941464268,12563.0,-1.7671436390648165
2023-09-28,10833.396565242683,-6.447667307356286,12563.0,-1.7671436390648165
2023-09-29,10807.092090952778,-6.6748208981303625,12563.0,-1.7671436390648165
2023-10-02,10812.909426613043,-6.624585007863015,12563.0,-1.7671436390648165
2023-10-03,10670.005311480383,-7.858640573125985,12563.0,-1.7671436390648165
2023-10-04,10735.00771429294,-7.297309103616989,12563.0,-1.7671436390648165
2023-10-05,10735.513569567747,-7.292940765332845,12136.0,-5.105950426147466
2023-10-06,10863.242026456232,-6.189935348593389,12136.0,-5.105950426147466
2023-10-09,10932.03834382983,-5.5958413419535225,12276.0,-4.011259676284307
2023-10-10,10987.17656878367,-5.1196924689848045,12276.0,-4.011259676284307
2023-10-11,11038.267951539065,-4.678490302289006,12276.0,-4.011259676284307
2023-10-12,10970.989199989885,-5.2594792940765185,12276.0,-4.011259676284307
2023-10-13,10909.274856463566,-5.792416564738778,12465.0,-2.5334271639690376
2023-10-16,11023.851076207096,-4.802987943386339,12465.0,-2.5334271639690376
2023-10-17,11025.115714394113,-4.792067097676056,12465.0,-2.5334271639690376
2023-10-18,10897.134329868224,-5.8972566835575835,12465.0,-2.5334271639690376
2023-10-19,10783.316893036905,-6.880132797483829,12483.0,-2.392681210415204
2023-10-20,10648.00060702633,-8.04866328848506,12636.0,-1.196340605207602
2023-10-23,10643.953764827882,-8.083609994758001,12636.0,-1.196340605207602
2023-10-24,10732.478437918911,-7.319150795037565,12636.0,-1.196340605207602
2023-10-25,10566.810835419985,-8.749781583085802,12636.0,-1.196340605207602
2023-10-26,10438.07066798189,-9.861523676393505,12801.0,0.0
2023-10-27,10392.796620886764,-10.252489952821954,12801.0,0.0
2023-10-30,10512.93724865316,-9.215009610344216,12934.0,0.0
2023-10-31,10571.36353289324,-8.710466538528738,12934.0,0.0
2023-11-01,10689.986594835218,-7.686091210903367,13166.0,0.0
2023-11-02,10891.822849482764,-5.943124235540798,13382.0,0.0
2023-11-03,10999.570023016417,-5.012668181023939,13480.0,0.0
2023-11-06,11017.527885272024,-4.857592171937797,13606.0,0.0
2023-11-07,11047.37334648557,-4.599860213174911,13606.0,0.0
2023-11-08,11054.96117560766,-4.534335138913159,13606.0,0.0
2023-11-09,10999.355034524622,-5.014524724794689,13459.0,-1.0804057033661607
2023-11-10,11149.55611199636,-3.717455879783327,13459.0,-1.0804057033661607
2023-11-13,11136.150947214002,-3.833216844312426,13459.0,-1.0804057033661607
2023-11-14,11358.980195765993,-1.908963830159016,13459.0,-1.0804057033661607
2023-11-15,11366.820952525482,-1.8412545867552033,13242.0,-2.6752903130971672
2023-11-16,11387.055163517718,-1.666521055390524,13242.0,-2.6752903130971672
2023-11-17,11399.701545387865,-1.557312598287608,13438.0,-1.2347493752756122
2023-11-20,11485.696942104863,-0.8146950899877714,13438.0,-1.2347493752756122
2023-11-21,11459.139540177555,-1.0440328499038976,13438.0,-1.2347493752756122
2023-11-22,11510.736778207754,-0.5984623449240001,13249.0,-2.623842422460676
2023-11-24,11518.324607329843,-0.5329372706622371,13249.0,-2.623842422460676
2023-11-27,11495.308192326176,-0.7316966625895427,13249.0,-2.623842422460676
2023-11-28,11506.942863646713,-0.6312248820548705,13249.0,-2.623842422460676
2023-11-29,11503.40187672307,-0.6618032500436799,13249.0,-2.623842422460676
2023-11-30,11543.11151579533,-0.3188886947405267,13249.0,-2.623842422460676
2023-12-01,11609.884412069709,0.0,13368.0,-1.749228281640458
2023-12-04,11546.146647444166,-0.5489956864624612,13368.0,-1.749228281640458
2023-12-05,11552.216910741836,-0.4967103829898511,13368.0,-1.749228281640458
2023-12-06,11501.884310898651,-0.9302426909502892,13487.0,-0.874614140820229
2023-12-07,11587.373852340845,-0.1938913337109493,13487.0,-0.874614140820229
2023-12-08,11637.70645218403,0.0,13277.0,-2.4180508599147443
2023-12-11,11683.979563446896,0.0,13277.0,-2.4180508599147443
2023-12-12,11739.636290057417,0.0,13277.0,-2.4180508599147443
2023-12-13,11901.7629056327,0.0,13277.0,-2.4180508599147443
2023-12-14,11938.94326833093,0.0,13277.0,-2.4180508599147443
2023-12-15,11878.493562991627,-0.5063237506090723,13277.0,-2.4180508599147443
2023-12-18,11930.596656296637,-0.0699108107535373,13277.0,-2.4180508599147443
2023-12-19,12010.26886207856,0.0,13340.0,-1.9550198441863897
2023-12-20,11833.97829880871,-1.46783194693062,13340.0,-1.9550198441863897
2023-12-21,11953.360143662898,-0.4738338422659804,13340.0,-1.9550198441863897
2023-12-22,11982.193894326832,-0.2337580288512275,13452.0,-1.1318535940026409
2023-12-26,12031.76771125781,0.0,13452.0,-1.1318535940026409
